company,job_name,salary,city,work_years,education,desc
Tokenmania,Python开发工程师/高频量化策略开发,25K-40K,北京,经验不限,本科,"['职责描述：', '1.参与公司数字货币量化交易策略与业务实现，回测与分析。', '2.负责高频数据量化策略研究与开发。', '高频交易', '任职要求：', '1.精通Python语言开发，精通Python下的多线程/多进程开发，网络通信。', '2.熟悉算法与数据结构，有OI经验为佳', '3.熟练使用Python下的Numpy，Scipy等科学计算库，掌握PyPy/CPython，', '加分项：', '1.数学功底扎实，掌握Matlab/R等数据分析工具，具有基本的金融二级市场交易知识。', '2.有高频量化交易策略开发经验，有数字货币程序化交易经验者优先。', '3.精通c/c++, c#, golang等']"
北京天润融通,python开发实习生,4K-8K,北京,应届生,本科,"['职位诱惑：', '定期培训/定期团建/提供工作餐/牛人mentor/租房补助/可转正', '职位描述：', '岗位职责', '1.参与公司数据平台建设，负责后端代码编写；', '2.与产品、技术对接，并调试后端接口；', '3.表现优秀会有机会参加平台建设方面的工作。', '任职资格', '1.至少掌握一门编程语言，有编程经验。会python、django者优先；', '2.熟练使用sql语言，了解索引；', '3.有较强的责任心和上进心；', '团队融洽，老板民族，']"
成都魔力百聚,Python开发工程师,5K-8K,成都,1-3年,本科,"['1、扎实的Python编程基础，热爱编程，代码风格良好;', '2、熟悉常见python web框架(Flask/Django等)，熟悉RESTful API的开发思想;', '3、熟悉Linux操作系统，了解docker，能够进行日常服务的测试部署;', '4、熟悉关系／非关系型数据库的使用，了解基本的设计、优化原则;', '5、良好的自学能力、独立解决问题的能力及沟通与团队协作能力;', '6、对开源软件、敏捷开发方法有特别兴趣，开源社区贡献者优先考虑;', '7、热爱编程,需要有良好的自学能力；', '8、能熟练使用Linux/Mac环境编程;']"
乐而知教育,Python,4K-8K,郑州,3-5年,本科,"['岗位职责：', '1.负责设计和开发分布式网络爬虫系统，进行多平台信息的抓取和分析工作；', '2.负责网页信息和APP数据抽取、清洗、消重等工作，提升平台的抓取效率；', '3.参与爬虫核心算法和策略优化，熟悉采集系统的调度策略；', '4.实时监控爬虫的进度和警报反馈；', '任职要求：', '1.熟悉Python语言；', '2.了解多线程、多进程、网络通信编程相关知识，有爬虫开发经验者优先；', '3.掌握网页抓取原理及技术，了解基于Cookie的登录原理，熟悉基于正则表达式、XPath、CSS等网页信息抽取技术；', '4.熟悉APP模拟及接口认证技术，了解APP用户授权访问机制，掌握Selenium，了解APP破解技术者优先；', '5.做过数据处理、ETL等相关工作者优先。', '福利待遇', '1 、月薪：5-10K', '2、 五险、餐补', '3、 国家法定节假日', '4、 项目股权、项目期权', '5、 绩效津贴', '6、年度旅游']"
网宿科技,Python研发工程师,10K-20K,厦门,经验不限,本科,"['岗位职责：', '1.参与边缘计算项目的开发运营工作，含IaaS、PaaS服务，函数计算等;', '任职要求：', '1、本科以上学历，计算机、软件工程或相关专业毕业；', '2、三年以上软件开发工作经验，有云计算、虚拟化、容器相关开发经验者优先；', '3、对计算机相关基础知识有较好理解，了解常用数据结构和算法；', '4、熟悉Linux操作系统，熟悉Oracle/mysql等数据库；', '5. 有良好的团队合作精神，有责任感，有较好的沟通能力，主动性强']"
软通动力,Python,6K-12K,西安,1-3年,本科,"['熟悉XML，YAML，python', '了解VNFD，有测试懂环境搭建的，愿意转的优先；', '沟通能力强，男生，']"
广州智品网络科技公司,Python开发,15K-20K,广州,3-5年,本科,"['岗位描述', '1.根据职级加入到团队中，根据资深程度来做分派；', '2.负责业务系统的架构设计以及核心功能模块的实现；', '3.持续重构与维护功能模块，保持可用性、稳定性及扩展性，解决性能瓶颈。', '任职要求', '1. 计算机相关本科或者以上学历，3年以上web产品服务器后端开发经验；', '2. 熟悉Python/Golang语言编程，熟悉最少一种常用的开发框架；', '3. 熟悉Mysql，有大量数据的处理经验；', '4. 熟悉在Unix/Linux平台下开发，了解常用的Shell命令、Git命令；', '5. 熟悉架构设计、概要设计和详细设计，独自承担过大型项目的架构设计；', '6. 对代码和设计质量有严格要求，重视Code Review，知道良好的编程习惯的标准。', '智品网络是一家海外互联网平台，目前拥有3款自研产品：输入法、游戏、应用商店，公司非常强调产品导向和工程师氛围。我们不强调加班，但非常强调目标；我们不在乎经验，但非常看重思考能力、好奇心、专业基础知识。我们希望成为适合工程师工作的公司。期待有共同价值观的你加入！']"
源码时代,Python,10K-19K,成都,3-5年,大专,"['1. 表达能力强，个性开朗，乐于与人交流。', '2. 熟练使用Linux/Unix系统，Linux/Mac 作为开发环境', '3. 3年以上相关工作经验，扎实的python基础，熟悉Django、tornado、web.py等web框架中的一种；', '4. 熟悉MySQL、Redis、mongo之一，熟悉数据库索引；', '5. 熟悉数据结构和算法，有扎实的计算机功底和强大的编码能力；', '6. 熟悉项目开发流程，熟练使用CVS/SVN等版本控制软件。', 'nice的老板 、管理人员，融洽的工作氛围，工作超舒心']"
蚂蚁金服,Python,18K-36K,杭州,3-5年,本科,"['职位BASE：', '杭州/上海/深圳/成都', '岗位描述：', '主要从事蚂蚁高可用平台/DEVOPS平台研发工作，欢迎大家踊跃投递简历', '招聘岗位：python开发工程师', '1. 计算机相关专业本科及以上学历', '2. 精通Python，2年以上Python后台开发经验，具有良好的编码习惯；', '3. 精通Python服务端编程，精通网络编程；', '4. 熟悉Django/flask等web开发框架；', '5. 熟悉Unix/Linux操作系统下的开发、部署、维护等工作；', '6. 具有AWS、Google Cloud Platform使用经验者优先；', '7. 具有开源项目开发经验者优先；', '8. 具有良好的团队协作、沟通能力，乐于分享，良好的客户服务意识']"
济南多大,Python开发,8K-9K,济南,经验不限,不限,"['我们希望你：', '丰富的 Python 编程经验', '熟悉关系数据库和 NoSQL 知识', '聪明，自信，善于分析和解决问题，优秀的学习能力，热爱技术', '加分项：', '喜欢研究算法或者图像处理', '有地理数据处理或者数据的图像处理经验', '熟悉 djiango 或者 flask 框架', '熟悉 web 网络相关知识', '开源爱好者、贡献者或喜欢业余时间做些有趣的项目', '工资标准，5000~16000元/月', '具体薪酬待遇面议。']"
